Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
40610061,10/21/18 0:02,10/21/18 5:06,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11106,34-05 12 STREET,12 STREET,34 AVENUE,35 AVENUE,,,ADDRESS,ASTORIA,,Precinct,Closed,10/21/18 8:02,The Police Department responded to the complaint and determined that police action was not necessary.,10/21/18 5:06,01 QUEENS,4005230002,QUEENS,"1,001,679","217,663",MOBILE,Unspecified,QUEENS,,,,,,,,40.7640939,-73.93708265,"(40.7640939040762, -73.93708265390595)"
40605904,10/21/18 0:02,10/21/18 3:01,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11213,921 MONTGOMERY STREET,MONTGOMERY STREET,SCHENECTADY AVENUE,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/21/18 8:02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 3:01,09 BROOKLYN,3014190001,BROOKLYN,"1,002,590","181,372",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.66448197,-73.93389288,"(40.66448197292001, -73.93389288311353)"
40609376,10/21/18 0:03,10/21/18 2:03,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10036,455 WEST 48 STREET,WEST 48 STREET,9 AVENUE,10 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/21/18 8:03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 2:03,04 MANHATTAN,1010580001,MANHATTAN,"986,638","217,216",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.76288386,-73.99137966,"(40.76288386180108, -73.991379661474)"
40609348,10/21/18 0:03,10/21/18 2:07,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10029,1214 FIFTH AVENUE,FIFTH AVENUE,5 AVENUE,MADISON AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/21/18 8:03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 2:07,11 MANHATTAN,1016077503,MANHATTAN,"997,437","227,577",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79131256,-73.95237649,"(40.791312562055026, -73.95237648622604)"
40610558,10/21/18 0:03,10/21/18 1:27,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10461,3229 WESTCHESTER AVENUE,WESTCHESTER AVENUE,CONTINENTAL AVENUE,ST PAUL AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/21/18 8:03,The Police Department responded to the complaint and took action to fix the condition.,10/21/18 1:27,10 BRONX,2042470001,BRONX,"1,031,546","249,750",ONLINE,Unspecified,BRONX,,,,,,,,40.85205434,-73.82903921,"(40.85205433772875, -73.82903920932816)"
40606971,10/21/18 0:03,10/21/18 2:41,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,11103,25-42 STEINWAY STREET,STEINWAY STREET,25 AVENUE,28 AVENUE,,,ADDRESS,ASTORIA,,Precinct,Closed,10/21/18 8:03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 2:41,01 QUEENS,4006540081,QUEENS,"1,008,620","218,932",MOBILE,Unspecified,QUEENS,,,,,,,,40.76756057,-73.91202159,"(40.767560570660045, -73.91202159263382)"
40605544,10/21/18 0:03,10/21/18 2:42,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10040,25 DONGAN PLACE,DONGAN PLACE,BEND,ARDEN STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/21/18 8:03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 2:42,12 MANHATTAN,1021750118,MANHATTAN,"1,003,964","253,850",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.86341227,-73.9287277,"(40.863412273228626, -73.92872769635362)"
40607435,10/21/18 0:03,10/21/18 10:05,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,550 EAST 4 STREET,EAST 4 STREET,AVENUE C,CORTELYOU ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/21/18 8:03,The Police Department issued a summons in response to the complaint.,10/21/18 10:05,12 BROOKLYN,3053720039,BROOKLYN,"991,015","172,059",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63893623,-73.97562468,"(40.638936226331154, -73.97562467812924)"
40609288,10/21/18 0:04,,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,10031,610 WEST  143 STREET,WEST  143 STREET,BROADWAY,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,N/A,Assigned,,The Department of Sanitation has sent this complaint to the appropriate district garage or bureau for further action.,10/22/18 0:00,09 MANHATTAN,1020890041,MANHATTAN,"997,582","239,963",PHONE,Unspecified,MANHATTAN,,,,,,,,40.82530848,-73.95182824,"(40.82530848162171, -73.95182823502802)"
40612048,10/21/18 0:04,10/21/18 2:34,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10010,208 EAST 25 STREET,EAST 25 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/21/18 8:04,The Police Department responded to the complaint and took action to fix the condition.,10/21/18 2:34,06 MANHATTAN,1009050053,MANHATTAN,"989,306","208,847",PHONE,Unspecified,MANHATTAN,,,,,,,,40.73991195,-73.98175486,"(40.73991195051666, -73.98175485565231)"
40611234,10/21/18 0:04,10/21/18 15:24,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10461,1053 MORRIS PARK AVENUE,MORRIS PARK AVENUE,HONE AVENUE,LURTING AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/21/18 8:04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 15:24,11 BRONX,2041290039,BRONX,"1,024,507","248,591",PHONE,Unspecified,BRONX,,,,,,,,40.84890813,-73.85448998,"(40.84890813059617, -73.85448998189341)"
40616612,10/21/18 0:05,,DSNY,Bronx 04,Derelict Bicycle,14B Derelict Bicycle,Street,10452,963 WOODYCREST AVENUE,WOODYCREST AVENUE,WEST 162 STREET,WEST 163 STREET,,,ADDRESS,BRONX,,N/A,Open,,The Department of Sanitation is in the process of investigating this complaint.,,04 BRONX,2025110068,BRONX,"1,003,966","242,285",PHONE,Unspecified,BRONX,,,,,,,,40.83166976,-73.92875447,"(40.831669762919574, -73.9287544719845)"
40608740,10/21/18 0:05,10/21/18 1:27,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10461,3229 WESTCHESTER AVENUE,WESTCHESTER AVENUE,CONTINENTAL AVENUE,ST PAUL AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/21/18 8:05,The Police Department responded to the complaint and took action to fix the condition.,10/21/18 1:27,10 BRONX,2042470001,BRONX,"1,031,546","249,750",ONLINE,Unspecified,BRONX,,,,,,,,40.85205434,-73.82903921,"(40.85205433772875, -73.82903920932816)"
40611338,10/21/18 0:05,10/21/18 2:57,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11418,87-43 117 STREET,117 STREET,JAMAICA AVENUE,89 AVENUE,,,ADDRESS,RICHMOND HILL,,Precinct,Closed,10/21/18 8:05,The Police Department responded to the complaint and determined that police action was not necessary.,10/21/18 2:57,09 QUEENS,4093270026,QUEENS,"1,030,735","193,992",ONLINE,Unspecified,QUEENS,,,,,,,,40.69901791,-73.83235645,"(40.699017905950775, -73.83235644549731)"
40606324,10/21/18 0:05,10/21/18 3:08,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,987 MYRTLE AVENUE,MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BOULEVARD,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/21/18 8:05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 3:08,03 BROOKLYN,3017490015,BROOKLYN,"1,000,228","192,915",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69616946,-73.94237942,"(40.6961694590922, -73.94237941632258)"
40606723,10/21/18 0:05,10/21/18 8:33,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11206,164 TEN EYCK WALK,TEN EYCK WALK,GRAHAM AVENUE,BEND,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/21/18 8:05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 8:33,01 BROOKLYN,3030260001,BROOKLYN,"999,935","198,036",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.71022592,-73.94342412,"(40.71022592286109, -73.94342411828988)"
40605446,10/21/18 0:05,10/21/18 1:33,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11205,,,,,SPENCER COURT,KOSCIUSZKO STREET,INTERSECTION,BROOKLYN,,Precinct,Closed,10/21/18 8:05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 1:33,03 BROOKLYN,,BROOKLYN,"996,917","190,770",PHONE,Unspecified,BROOKLYN,,,,,,,,40.69028729,-73.95432372,"(40.6902872896132, -73.95432372479821)"
40608119,10/21/18 0:05,10/21/18 3:21,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11221,16 CHARLES PLACE,CHARLES PLACE,WILLOUGHBY AVENUE,DEAD END,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/21/18 8:05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 3:21,04 BROOKLYN,3031830066,BROOKLYN,"1,003,204","193,529",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.69784887,-73.93164551,"(40.69784887225228, -73.93164550719143)"
40612215,10/21/18 0:05,10/21/18 3:42,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10461,1545 RHINELANDER AVENUE,RHINELANDER AVENUE,EASTCHESTER ROAD,STILLWELL AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/21/18 8:05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 3:42,11 BRONX,2042220093,BRONX,"1,027,868","251,152",PHONE,Unspecified,BRONX,,,,,,,,40.85592134,-73.84232492,"(40.85592134004386, -73.84232491924756)"
40605931,10/21/18 0:05,10/21/18 1:05,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10003,93 1 AVENUE,1 AVENUE,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/21/18 8:05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 1:05,03 MANHATTAN,1004470030,MANHATTAN,"988,040","203,845",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.72618332,-73.98632618,"(40.72618332317361, -73.98632617650456)"
40610189,10/21/18 0:05,10/21/18 1:32,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,235 EAST 13 STREET,EAST 13 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/21/18 8:05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 1:32,03 MANHATTAN,1004690046,MANHATTAN,"987,909","206,051",PHONE,Unspecified,MANHATTAN,,,,,,,,40.73223831,-73.98679761,"(40.73223830930443, -73.9867976077853)"
40608794,10/21/18 0:05,10/21/18 1:41,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11692,57-31 ARVERNE BOULEVARD,ARVERNE BOULEVARD,BEACH 57 STREET,BEACH 59 STREET,,,ADDRESS,ARVERNE,,Precinct,Closed,10/21/18 8:05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 1:41,14 QUEENS,4158970139,QUEENS,"1,043,314","155,263",ONLINE,Unspecified,QUEENS,,,,,,,,40.59264047,-73.78733078,"(40.59264047108357, -73.78733078258078)"
40608322,10/21/18 0:05,10/21/18 3:57,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11356,10-53 115 STREET,115 STREET,BEND,14 AVENUE,,,ADDRESS,COLLEGE POINT,,Precinct,Closed,10/21/18 8:05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 3:57,07 QUEENS,4040360025,QUEENS,"1,025,106","226,245",PHONE,Unspecified,QUEENS,,,,,,,,40.78757198,-73.85246092,"(40.78757198154046, -73.85246092451096)"
40611610,10/21/18 0:06,10/21/18 5:39,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,11220,6740 3 AVENUE,3 AVENUE,SENATOR STREET,68 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/21/18 8:06,The Police Department responded to the complaint and took action to fix the condition.,10/21/18 5:39,10 BROOKLYN,3058530045,BROOKLYN,"977,169","171,380",PHONE,Unspecified,BROOKLYN,,,,,,,,40.63707227,-74.02551321,"(40.637072269345985, -74.02551320520492)"
40607995,10/21/18 0:06,10/21/18 6:59,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11220,633 57 STREET,57 STREET,6 AVENUE,7 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/21/18 8:06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 6:59,07 BROOKLYN,3008410066,BROOKLYN,"981,099","172,212",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6393582,-74.0113536,"(40.63935820161597, -74.01135360297756)"
40607955,10/21/18 0:07,,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11357,146-11 13 AVENUE,13 AVENUE,146 STREET,146 PLACE,,,ADDRESS,Whitestone,,N/A,Assigned,,The Department of Sanitation has sent this complaint to the appropriate district garage or bureau for further action.,10/23/18 0:00,07 QUEENS,4044610072,QUEENS,"1,033,919","226,710",PHONE,Unspecified,QUEENS,,,,,,,,40.78880314,-73.82063209,"(40.78880314329357, -73.82063208566149)"
40611966,10/21/18 0:07,10/21/18 5:17,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11105,23-50 CRESCENT STREET,CRESCENT STREET,23 AVENUE,24 AVENUE,,,ADDRESS,ASTORIA,,Precinct,Closed,10/21/18 8:07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 5:17,01 QUEENS,4008650058,QUEENS,"1,007,001","222,003",MOBILE,Unspecified,QUEENS,,,,,,,,40.77599397,-73.91785596,"(40.77599397494441, -73.91785596247688)"
40605915,10/21/18 0:07,10/21/18 0:52,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10002,357 GRAND STREET,GRAND STREET,ESSEX STREET,NORFOLK STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/21/18 8:07,The Police Department responded to the complaint and determined that police action was not necessary.,10/21/18 0:52,03 MANHATTAN,1003110013,MANHATTAN,"987,288","200,376",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71666205,-73.98904086,"(40.71666204593021, -73.98904085977543)"
40610181,10/21/18 0:07,10/21/18 20:37,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,1270 GERARD AVENUE,GERARD AVENUE,EAST 168 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,10/21/18 8:07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 20:37,04 BRONX,2024810001,BRONX,"1,006,574","244,239",ONLINE,Unspecified,BRONX,,,,,,,,40.83702672,-73.91932373,"(40.83702671984958, -73.91932373285213)"
40608946,10/21/18 0:07,10/21/18 1:54,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10037,2201 5 AVENUE,5 AVENUE,EAST 132 STREET,EAST 135 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/21/18 8:07,The Police Department responded to the complaint and took action to fix the condition.,10/21/18 1:54,11 MANHATTAN,1017570001,MANHATTAN,"1,001,368","235,121",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.81201203,-73.93816085,"(40.81201203121546, -73.93816084923392)"
40604875,10/21/18 0:07,10/21/18 4:23,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11385,60-30 MADISON STREET,MADISON STREET,60 PLACE,FRESH POND ROAD,,,ADDRESS,RIDGEWOOD,,Precinct,Closed,10/21/18 8:07,The Police Department responded and upon arrival those responsible for the condition were gone.,10/21/18 4:23,05 QUEENS,4035300019,QUEENS,"1,012,208","196,732",MOBILE,Unspecified,QUEENS,,,,,,,,40.70661648,-73.89916078,"(40.706616484953024, -73.89916078453071)"
40611238,10/21/18 0:08,10/21/18 1:27,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10461,3229 WESTCHESTER AVENUE,WESTCHESTER AVENUE,CONTINENTAL AVENUE,ST PAUL AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/21/18 8:08,The Police Department responded to the complaint and took action to fix the condition.,10/21/18 1:27,10 BRONX,2042470001,BRONX,"1,031,546","249,750",ONLINE,Unspecified,BRONX,,,,,,,,40.85205434,-73.82903921,"(40.85205433772875, -73.82903920932816)"
40609435,10/21/18 0:08,10/21/18 3:05,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,9 DWIGHT STREET,DWIGHT STREET,DELAVAN STREET,VERONA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/21/18 8:08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 3:05,06 BROOKLYN,3005240010,BROOKLYN,"982,511","186,435",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6783976,-74.00626959,"(40.67839759796297, -74.00626958851551)"
40608947,10/21/18 0:08,10/21/18 3:07,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,987 MYRTLE AVENUE,MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BOULEVARD,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/21/18 8:08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 3:07,03 BROOKLYN,3017490015,BROOKLYN,"1,000,228","192,915",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.69616946,-73.94237942,"(40.6961694590922, -73.94237941632258)"
40611471,10/21/18 0:08,10/21/18 2:26,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11206,63 MONTROSE AVENUE,MONTROSE AVENUE,LORIMER STREET,LEONARD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/21/18 8:08,The Police Department responded to the complaint and determined that police action was not necessary.,10/21/18 2:26,01 BROOKLYN,3030500034,BROOKLYN,"998,824","196,835",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70693136,-73.9474341,"(40.706931362524664, -73.9474341000148)"
40610782,10/21/18 0:09,10/21/18 20:38,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,950 WOODYCREST AVENUE,WOODYCREST AVENUE,WEST 162 STREET,WEST 163 STREET,,,ADDRESS,BRONX,,Precinct,Closed,10/21/18 8:09,The Police Department responded and upon arrival those responsible for the condition were gone.,10/21/18 20:38,04 BRONX,2025070001,BRONX,"1,003,911","242,179",PHONE,Unspecified,BRONX,,,,,,,,40.83137895,-73.92895353,"(40.831378946066906, -73.9289535299807)"
