Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
1985.316,False,True,453264,Islamic Art,Bottle,'Molar' flask,,,,,,,,,,,,,,,8th–9th century,700,899,"Glass, green; cast or blown, cut","H. 4 1/8 in. (10.5 cm)
Diam. of body: 1 1/2 in. (3.8 cm)","Gift of Mr. and Mrs. Arthur G. Altschul, 1985",Attributed to,,,,probably Iran,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/453264,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
SL.29.2014.1.3,False,False,648712,Asian Art,Vase,,China,"Eastern Zhou dynasty, Spring and Autumn period (77–476 B.C.)",,,,,,,,,,,,,early 5th century BC,-470,-470,Bronze,"H. 17 7/16 in. (44.3 cm); Diam. 9 13/16 in. (25 cm); Wt. 14.3 lb. (6.5 kg)
",Lent by the Shanghai Museum,,,,,,,,,,,,Metalwork,,http://www.metmuseum.org/art/collection/search/648712,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
53.600.1492,False,True,811990,Drawings and Prints,Print,Landscape from a Cave,,,,,,Engraver|Artist,After,Antoine de Marcenay de Ghuy|Joseph Vernet,"French, Arnay-le-Duc (Côte-d'Or) 1724–1811 Paris|French, Avignon 1714–1789 Paris",,"Marcenay de Ghuy, Antoine de|Vernet, Joseph",,1724      |1714      ,1811      |1789      ,1756,1756,1756,Engraving; second state of two,Sheet (Trimmed): 9 5/8 × 10 7/8 in. (24.4 × 27.6 cm),"Harris Brisbane Dick Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811990,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2005.100.381.1.2,False,True,287262,Photographs,Photograph,South East Angle of the Tirambur Pagoda,,,,,,Artist,,Linnaeus Tripe,"British, Devonport (Plymouth Dock) 1822–1902 Devonport",,"Tripe, Linnaeus",British,1822      ,1902      ,January–February 1858,1858,1858,Albumen silver print from waxed paper negative,"Image: 26.3 x 36.4 cm (10 3/8 x 14 5/16 in.)
Mount: 45 x 56.5 cm (17 11/16 x 22 1/4 in.)","Gilman Collection, Purchase, Cynthia Hazen Polsky Gift, 2005",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/287262,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
10.125.102,False,True,8055,American Decorative Arts,Table,Table,American,,,,,,,,,,,,,,1700–1750,1700,1750,Maple,25 3/4 x 13 3/4 x 12 1/4 in. (65.4 x 34.9 x 31.1 cm),"Gift of Mrs. Russell Sage, 1909",Made in,,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/8055,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2014.97.93,False,True,726393,Drawings and Prints,Album Print Ornament & Architecture,"Design for a Cartouche, Plate 1 from 'Neu Inventierte auf die artigste Facon Sehr nutzliche Schild.'",,,,,,Engraver|Artist|Publisher,After,Johann Georg Pintz|Johannes Rumpp|Martin Engelbrecht,"German, 1697–1767|Central European, active Augsburg ca. 1730-1750|German, Augsburg 1684–1756 Augsburg",,"Pintz, Johann Georg|Rumpp, Johannes|Engelbrecht, Martin",,1730      |1684      ,1750      |1756      ,Printed ca. 1750–56,1745,1755,Etching,Overall: 8 7/16 × 13 3/4 in. (21.5 × 35 cm),"Purchase, Daniel Ergmann Gift, 2014",,,,,,,,,,,,Prints|Ornament & Architecture|Albums,,http://www.metmuseum.org/art/collection/search/726393,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
32.12.1(22),False,False,638264,Drawings and Prints,Print,"The Entombment, from Diversarum Iconum...Series Secunda",,,,,Diversarum Iconum...Series Secunda,Artist|Artist,After,Anton Maria Zanetti the Elder|Bertoia (Jacopo Zanguidi),"Italian, Venice 1680–1767 Venice|Italian, Parma 1544–?1573 Caprarola (?)",,"Zanetti, Anton Maria, the Elder|Bertoia (Jacopo Zanguidi)",Italian|Italian,1680      |1544      ,1767      |1573      ,1740–50,1740,1750,Chiaroscuro woodcut from two blocks in green-blue ink,"Sheet: 18 5/16 × 12 3/8 in. (46.5 × 31.5 cm)
Image: 10 in. × 7 11/16 in. (25.4 × 19.5 cm)","Harris Brisbane Dick Fund, 1932",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/638264,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
20.81.1.32,False,False,360887,Drawings and Prints,Print,Proclamation of the Treaty of Munster,,,,,,Artist,,Wenceslaus Hollar,"Bohemian, Prague 1607–1677 London",,"Hollar, Wenceslaus",Bohemian,1607      ,1677      ,1648,1648,1648,Etching; third state of four (NH),Sheet: 8 1/2 × 13 3/8 in. (21.6 × 33.9 cm),"Rogers Fund, 1920",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/360887,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
60.714,False,False,355256,Drawings and Prints,Book,Les Contes de Perrault,,,,,,Author|Illustrator|Publisher,Written by|Published by,Charles Perrault|Gustave Doré|J. Hetzel et Compagnie,"French, Paris 1628–1703 Paris|French, Strasbourg 1832–1883 Paris",", Paris","Perrault, Charles|Doré, Gustave|Hetzel, J. et Compagnie",French|French|French,1628      |1832      ,1703      |1883      ,1899,1899,1899,,Overall: 16 1/8 x 11 1/8 x 1 1/4 in. (41 x 28.2 x 3.2 cm),"Gift of Mrs. John Fiske, 1960",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/355256,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
23.3.354,False,True,550546,Egyptian Art,Scarab,Scarab,,New Kingdom,Dynasty 18,Joint reign of Hatshepsut and Thutmose III,,,,,,,,,,,ca. 1479–1458 B.C.,-1473,-1458,Faience,,"Rogers Fund, 1923",From,,,,Egypt,"Upper Egypt, Thebes",Deir el-Bahri,Hatshepsut Hole,Hathor Shrine,"MMA excavations, 1922–23",,|,,http://www.metmuseum.org/art/collection/search/550546,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"Burdick 346, U1.160",False,False,751851,Drawings and Prints,"Print, baseball","Thornton S. Lee, Cleveland Indians, from the Baseball Players Match Cover design series (U1) issued by Diamond Match Company",,,,,,Publisher,,The Diamond Match Company,,,The Diamond Match Company,,1881      ,9999      ,1934,1934,1934,Printed matchbook,Sheet: 4 7/16 × 1 9/16 in. (11.3 × 4 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/751851,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
61.603.14,False,False,747292,Drawings and Prints,Print,Mexican Indian mother carrying a child on her back,,,,,,Artist|Printer,,Jean Charlot|Lynton R. Kistler,"French, Paris 1898–1979 Honolulu, Hawaii",,"Charlot, Jean|Kistler, Lynton R.",,1898      ,1979      ,1933,1933,1933,"Colour lithograph on stone, proof impresion in brown and black","Sheet: 29 15/16 × 21 7/8 in. (76 × 55.5 cm)
Image: 24 5/8 × 19 11/16 in. (62.5 × 50 cm)","Gift of Jean Charlot, 1961",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/747292,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
50.602.617,False,False,660219,Drawings and Prints,cut paper,Maria Baneger,,,,,,Artist,,Auguste Edouart,"French, 1789–1861",,"Edouart, Auguste",French,1789      ,1861      ,1840,1840,1840,Cut paper silhouette,Image: 6 5/8 × 5 1/8 in. (16.8 × 13 cm),"Glenn Tilley Morse Collection, Bequest of Glenn Tilley Morse, 1950",,,,,,,,,,,,Cut Paper|Ephemera,,http://www.metmuseum.org/art/collection/search/660219,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
40.52.76,False,False,422093,Drawings and Prints,Print,"The Culte du Démon (The Cult of the Demon), from Les Sacrifices (The Sacrifices)",,,,,Les Sacrifices,Artist,,Jacques Callot,"French, Nancy 1592–1635 Nancy",,"Callot, Jacques",French,1592      ,1635      ,ca. 1625,1620,1630,Etching,"Sheet: 2 13/16 × 2 3/16 in. (7.2 × 5.5 cm)
Plate: 2 5/8 x 1 15/16 in. (6.6 x 5 cm)","Rogers Fund, by exchange, 1940",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/422093,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
42.119.519,False,False,412423,Drawings and Prints,Print,No!,,,,,,Publisher|Publisher|Artist|Engraver,After,"Knoedler and Co.|Thomas Agnew & Sons, Ltd.|Sir John Everett Millais|Samuel Cousins","London|British, Southampton 1829–1896 London|British, Exeter 1801–1887 London",", Washington DC","Knoedler and Co.|Agnew, Thomas & Sons, Ltd.|Millais, John Everett, Sir|Cousins, Samuel","French, British, American|British|British",1846      |1829      |1801      ,1977      |1896      |1887      ,1877–78,1877,1878,Mixed method engraving,"Image: 19 1/8 x 13 7/16 in. (48.5 x 34.1 cm)
Plate: 24 1/16 x 17 1/16 in. (61.1 x 43.4 cm)","Gertrude and Thomas Jefferson Mumford Collection, Gift of Dorothy Quick Mayer, 1942",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/412423,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1970.75.1,False,False,480817,Modern and Contemporary Art,Textile sample,Textile sample,,,,,,Designer,,Anni Albers,"American (born Germany), Berlin 1899–1994 Orange, Connecticut",,"Albers, Anni","American, born Germany",1899      ,1994      ,1950s,1950,1959,"Jute, nylon",18 x 15 in. (45.7 x 38.1 cm),"Gift of Anni Albers, 1970",,,,,,,,,,,,Textiles-Woven,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/480817,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1989.363.159,False,True,49238,Asian Art,Hanging scroll,清  高鳳翰  菊石圖  軸|Chrysanthemums by a Rock,China,Qing dynasty (1644–1911),,,,Artist,,Gao Fenghan,"Chinese, 1683–1749",,Gao Fenghan,Chinese,1683      ,1749      ,,1683,1749,Hanging scroll; ink and color on paper,"Image: 45 1/4 x 21 1/2 in. (114.9 x 54.6 cm)
Overall with mounting: 76 x 27 1/2 in. (193 x 69.9 cm)
Overall with knobs: 76 x 31 3/4 in. (193 x 80.6 cm)","Bequest of John M. Crawford Jr., 1988",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/49238,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2005.100.583 (137a),False,False,728387,Photographs,Photograph,Chinese Pirates Captured at Hong Kong and Executed July 1866,,,,,,Artist,Attributed to,John Thomson,"British, Edinburgh, Scotland 1837–1921 London",,"Thomson, John",,1837      ,1921      ,1866,1866,1866,Albumen silver print from glass negative,19 × 24 cm (7 1/2 × 9 7/16 in.),"Gilman Collection, Purchase, Cynthia Hazen Polsky Gift, 2005",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/728387,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
53.600.588(58),False,True,399098,Drawings and Prints,Print,Apple Seller,,,,,"Cries of Paris: Fifth Set
(Études Prises dans le Bas Peuple où les Cris de Paris: Cinquième Suite)",Publisher|Artist|Artist,After,"François Joullain|Anne Claude Philippe de Tubières, comte de Caylus|Edme Bouchardon","French, Paris 1697–1778 Paris|French, Paris 1692–1765 Paris|French, Chaumont 1698–1762 Paris",,"Joullain, François|Caylus, Anne Claude Philippe de Tubières comte de|Bouchardon, Edme",French|French,1697      |1692      |1698      ,1778      |1765      |1762      ,1746,1746,1746,Etching with some engraving,"Sheet: 9 1/8 x 7 in. (23.2 x 17.8 cm)
Image: 8 11/16 x 6 15/16 in. (22 x 17.7 cm)","Harris Brisbane Dick Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/399098,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
